GRADATION,AGGREGATE SOURCE,BINDER TYPE,DESIGN AGGREGATE GRADATION,COMPACTION,PERMANENT STRAIN (%),CTINDEX,Gmb,AV,VMA,VFB
19,17,1415,6.23,50,2.496,81.74,2.362,5.201,17.455,70.206
19,17,1415,6.23,75,1.831,71.765,2.386,4.224,16.604,74.568
19,17,1415,6.23,90,1.735,56.72,2.404,3.501,15.975,78.091
19,17,1415,6.23,110,1.495,55.57,2.419,2.906,15.457,81.198
19,17,3322,5.58,35,1.994,101.945,2.352,6.3,17.894,64.796
19,17,3322,5.58,50,1.577,88.695,2.369,5.601,17.282,67.587
19,17,3322,5.58,75,1.372,91.085,2.424,3.44,15.387,77.646
19,17,3322,5.58,90,0.932,71.315,2.427,3.301,15.266,78.394
19,17,3322,5.58,110,0.738,68.145,2.438,2.884,14.9,80.647
19,17,3322,6.16,35,2.266,107.63,2.318,6.889,19.06,63.859
19,17,3322,6.16,50,1.889,107.445,2.351,5.6,17.94,68.783
19,17,3322,6.16,75,1.368,96.89,2.387,4.141,16.671,75.165
19,17,3322,6.16,90,1.276,87.53,2.402,3.554,16.161,78.012
19,17,3322,6.16,110,0.942,75.95,2.403,3.463,16.082,78.467
19,17,3322,5.05,35,1.608,84.32,2.375,6.227,17.077,63.561
19,17,3322,5.05,50,1.189,69.98,2.393,5.519,16.451,66.45
19,17,3322,5.05,75,0.831,64.885,2.432,3.976,15.087,73.646
19,17,3322,5.05,90,0.75,59.37,2.436,3.791,14.923,74.621
19,17,3322,5.05,110,0.666,55.08,2.461,2.857,14.096,79.739
19,17,3322,5.11,35,1.853,82.76,2.338,7.347,18.358,59.981
19,17,3322,5.11,50,1.213,78.675,2.398,4.98,16.273,69.395
19,17,3322,5.11,75,1.003,78.155,2.422,4.027,15.433,73.907
19,17,3322,5.11,90,0.742,53.93,2.445,3.148,14.658,78.526
19,17,3322,5.11,110,0.71,58.71,2.452,2.867,14.41,80.11
19,17,3322,6.23,35,2.523,127.53,2.304,6.966,19.582,64.427
19,17,3322,6.23,50,2.08,104.525,2.335,5.688,18.477,69.216
19,17,3322,6.23,75,1.706,111.55,2.379,3.928,16.956,76.831
19,17,3322,6.23,90,1.199,98.155,2.388,3.569,16.645,78.56
19,17,3322,6.23,110,1.08,81.27,2.417,2.38,15.618,84.762
19,24,822,5.89,35,2.6,34.07,2.253,6.476,17.548,63.097
19,24,822,5.89,50,2.302,41.04,2.273,5.638,16.81,66.459
19,24,822,5.89,75,1.946,24.845,2.309,4.135,15.485,73.316
19,24,822,5.89,90,1.886,23.48,2.323,3.565,14.982,76.204
19,24,822,5.89,110,1.131,20.98,2.34,2.854,14.355,80.127
19,24,822,6.48,35,3.54,45.175,2.233,6.86,18.481,62.88
19,24,822,6.48,50,2.656,33.315,2.261,5.66,17.431,67.531
19,24,822,6.48,75,2.379,29.345,2.297,4.169,16.126,74.161
19,24,822,6.48,90,1.401,26.63,2.312,3.56,15.593,77.172
19,24,822,6.48,110,1.862,28.43,2.328,2.898,15.013,80.71
19,24,822,5.27,35,2.255,31.085,2.269,6.803,16.535,58.863
19,24,822,5.27,50,1.451,24.375,2.303,5.406,15.285,64.632
19,24,822,5.27,75,1.355,19.26,2.337,4.011,14.035,71.424
19,24,822,5.27,90,1.179,16.485,2.35,3.477,13.557,74.354
19,24,822,5.27,110,1.069,13.175,2.359,3.117,13.234,76.501
19,24,822,5.32,35,2.64,25.48,2.252,6.913,17.662,60.862
19,24,822,5.32,50,1.529,27.52,2.284,5.573,16.477,66.182
19,24,822,5.32,75,1.218,29.84,2.339,3.313,14.478,77.117
19,24,822,5.32,90,1.315,18.675,2.333,3.535,14.674,75.911
19,24,822,5.32,110,1.153,15.5,2.361,2.414,13.683,82.359
19,24,822,6.5,35,3.967,41.145,2.224,6.986,18.99,63.213
19,24,822,6.5,50,3.052,39.38,2.256,5.629,17.808,68.393
19,24,822,6.5,75,2.493,35.375,2.295,4.016,16.404,75.524
19,24,822,6.5,90,2.188,31.74,2.304,3.626,16.064,77.43
19,24,822,6.5,110,2.052,18.95,2.321,2.924,14.873,84.827
19,24,1415,5.89,35,2.453,43,2.239,6.66,18.139,63.284
19,24,1415,5.89,50,2.204,28.4,2.263,5.664,17.266,67.195
19,24,1415,5.89,75,1.743,36.295,2.301,4.087,15.883,74.267
19,24,1415,5.89,90,1.792,33.6,2.313,3.564,15.424,76.892
19,24,1415,5.89,110,0.969,30.61,2.336,2.635,14.609,81.991
19,24,1415,6.48,35,3.332,51.125,2.221,6.991,19.005,63.216
19,24,1415,6.48,50,2.447,56.24,2.252,5.677,17.861,68.216
19,24,1415,6.48,75,1.18,42.74,2.29,4.112,16.497,75.078
19,24,1415,6.48,90,1.645,39.955,2.31,3.287,15.779,79.171
19,24,1415,6.48,110,1.39,24.86,2.303,3.549,15.01,83.997
19,24,1415,5.27,35,2.126,26.575,2.262,6.874,16.884,59.288
19,24,1415,5.27,50,1.466,33.88,2.286,5.867,15.985,63.296
19,24,1415,5.27,75,2.223,28.14,2.332,4.008,14.326,72.024
19,24,1415,5.27,90,1.076,25.54,2.345,3.476,13.851,74.906
19,24,1415,5.27,110,0.936,23.87,2.361,2.802,13.25,78.85
19,24,1415,5.32,35,2.54,37.575,2.238,7.487,18.231,58.931
19,24,1415,5.32,50,1.285,32.235,2.292,5.233,16.238,67.775
19,24,1415,5.32,75,1.345,19.63,2.321,4.064,15.205,73.279
19,24,1415,5.32,90,1.116,40.93,2.333,3.535,14.738,76.014
19,24,1415,5.32,110,0.986,25.34,2.332,3.579,14.777,75.789
19,24,1415,6.5,35,3.752,62.39,2.217,7.043,19.321,63.546
19,24,1415,6.5,50,2.863,48.19,2.25,5.651,18.112,68.801
19,24,1415,6.5,75,2.33,51.19,2.289,4.045,16.718,75.808
19,24,1415,6.5,90,2.028,41.39,2.298,3.656,16.381,77.68
19,24,1415,6.5,110,1.9,43.54,2.314,2.958,15.775,81.25
19,24,3322,5.89,35,2.344,45.28,2.223,7.127,18.796,62.085
19,24,3322,5.89,50,2.016,60.45,2.249,6.061,17.864,66.073
19,24,3322,5.89,75,1.572,47.89,2.298,4.028,16.087,74.959
19,24,3322,5.89,90,1.132,50.595,2.308,3.594,15.707,77.121
19,24,3322,5.89,110,0.871,29.08,2.324,2.934,15.13,80.608
19,24,3322,6.48,35,2.763,76.525,2.215,6.937,19.358,64.167
19,24,3322,6.48,50,1.981,71.875,2.25,5.461,18.079,69.816
19,24,3322,6.48,75,1.837,64.395,2.284,4.026,16.836,76.089
19,24,3322,6.48,90,1.44,61.275,2.294,3.595,16.462,78.161
19,24,3322,6.48,110,1.353,50.675,2.31,2.942,15.896,81.495
19,24,3322,5.27,35,2.763,55.985,2.256,6.94,17.193,59.635
19,24,3322,5.27,50,1.981,45.03,2.32,4.305,14.848,71.006
19,24,3322,5.27,75,1.837,40.165,2.322,4.218,14.77,71.446
19,24,3322,5.27,90,1.44,32.27,2.332,3.778,14.379,73.727
19,24,3322,5.27,110,1.353,16.565,2.355,2.841,13.546,79.024
19,24,3322,5.32,35,2.117,63.86,2.246,6.977,18.01,61.264
19,24,3322,5.32,50,1.222,54.88,2.276,5.727,16.909,66.13
19,24,3322,5.32,75,1.923,53.89,2.317,4.009,15.394,73.96
19,24,3322,5.32,90,0.846,22.55,2.334,3.303,14.773,77.641
19,24,3322,5.32,110,0.822,42.335,2.344,2.902,14.419,79.873
19,24,3322,6.5,35,3.011,95.265,2.208,7.14,19.752,63.852
19,24,3322,6.5,50,2.366,80.065,2.244,5.632,18.449,69.474
19,24,3322,6.5,75,1.071,72.88,2.281,4.074,17.102,76.18
19,24,3322,6.5,90,1.571,59.97,2.301,3.253,16.393,80.156
19,24,3322,6.5,110,1.645,66.755,2.298,3.384,15.519,85.574
26.5,17,822,5.37,35,2.137,38.79,2.355,7.241,17.177,57.844
26.5,17,822,5.37,50,1.944,37.08,2.391,5.833,15.92,63.358
26.5,17,822,5.37,75,1.366,32.35,2.435,4.105,14.376,71.452
26.5,17,822,5.37,90,1.106,24.26,2.454,3.358,13.709,75.512
26.5,17,822,5.37,110,1.036,20.01,2.466,2.884,13.287,78.305
26.5,17,822,5.93,35,2.842,45.35,2.363,6.953,17.053,59.3
26.5,17,822,5.93,50,1.822,39.79,2.387,6.03,16.231,62.899
26.5,17,822,5.93,75,1.399,37.46,2.435,4.129,14.536,71.594
26.5,17,822,5.93,90,1.203,32.465,2.449,3.571,14.038,74.57
26.5,17,822,5.93,110,1.125,25.685,2.478,2.435,13.025,81.308
26.5,17,822,4.84,35,1.796,28.79,2.381,7.189,16.049,55.207
26.5,17,822,4.84,50,1.216,33.67,2.424,5.515,14.535,62.057
26.5,17,822,4.84,75,1.006,22.625,2.463,3.987,13.152,69.689
26.5,17,822,4.84,90,0.853,15.69,2.48,3.323,12.552,73.53
26.5,17,822,4.84,110,0.83,17.62,2.493,2.795,12.075,76.862
26.5,17,822,4.9,35,1.792,38.14,2.378,7.129,16.134,55.815
26.5,17,822,4.9,50,1.446,27.705,2.417,5.61,14.762,62.004
26.5,17,822,4.9,75,1.318,28.24,2.456,4.089,13.389,69.459
26.5,17,822,4.9,90,0.886,25.455,2.473,3.428,12.792,73.207
26.5,17,822,4.9,110,0.718,13.285,2.479,3.19,12.577,74.637
26.5,17,822,5.99,35,2.833,50.455,2.353,7.067,17.397,59.399
26.5,17,822,5.99,50,2.331,58.42,2.385,5.794,16.267,64.396
26.5,17,822,5.99,75,1.62,44.1,2.432,3.935,14.614,73.072
26.5,17,822,5.99,90,1.316,28.86,2.446,3.377,14.118,76.087
26.5,17,822,5.99,110,1.254,28.115,2.471,2.427,13.274,81.933
26.5,17,1415,5.37,35,1.797,51.585,2.355,7.254,17.267,57.988
26.5,17,1415,5.37,50,1.591,71.87,2.395,5.668,15.852,64.26
26.5,17,1415,5.37,75,1.293,40.84,2.434,4.121,14.472,71.526
26.5,17,1415,5.37,90,1.066,30.88,2.451,3.469,13.89,75.03
26.5,17,1415,5.37,110,0.779,25.965,2.463,2.997,13.469,77.762
26.5,17,1415,5.93,35,2.529,73.345,2.359,6.994,17.272,59.58
26.5,17,1415,5.93,50,1.768,45.62,2.389,5.809,16.219,64.204
26.5,17,1415,5.93,75,1.404,51.93,2.432,4.087,14.687,72.173
26.5,17,1415,5.93,90,1.258,60.13,2.446,3.529,14.191,75.136
26.5,17,1415,5.93,110,1.168,33.655,2.462,2.917,13.646,78.679
26.5,17,1415,4.84,35,1.366,43.01,2.375,7.115,16.305,56.375
26.5,17,1415,4.84,50,1.219,25.33,2.415,5.554,14.899,62.725
26.5,17,1415,4.84,75,1.049,30.29,2.453,4.079,13.57,69.952
26.5,17,1415,4.84,90,0.9,23.085,2.472,3.325,12.89,74.209
26.5,17,1415,4.84,110,0.613,15.26,2.483,2.895,12.503,76.853
26.5,17,1415,4.9,35,1.502,38.755,2.36,7.477,16.879,55.724
26.5,17,1415,4.9,50,1.389,56.855,2.408,5.617,15.208,63.118
26.5,17,1415,4.9,75,1.283,35.28,2.446,4.104,13.848,70.402
26.5,17,1415,4.9,90,0.875,25.21,2.463,3.448,13.259,74.005
26.5,17,1415,4.9,110,0.662,21.195,2.475,2.973,12.832,76.834
26.5,17,1415,5.99,35,2.817,59.56,2.351,7.093,17.547,59.596
26.5,17,1415,5.99,50,2.254,48.12,2.383,5.823,16.42,64.553
26.5,17,1415,5.99,75,1.545,56.33,2.43,3.968,14.774,73.14
26.5,17,1415,5.99,90,1.354,49.81,2.44,3.551,14.403,75.359
26.5,17,1415,5.99,110,1.315,45.2,2.468,2.465,13.439,81.819
26.5,17,3322,5.37,35,1.703,62.53,2.383,5.758,16.307,64.693
26.5,17,3322,5.37,50,1.405,43.015,2.427,4.036,14.778,72.688
26.5,17,3322,5.37,75,1.149,59.98,2.441,3.479,14.284,75.644
26.5,17,3322,5.37,90,0.904,50.275,2.453,3.01,13.867,78.295
26.5,17,3322,5.37,110,0.724,44.875,2.347,7.051,17.777,60.359
26.5,17,3322,5.93,35,2.152,68.7,2.383,5.606,16.499,66.043
26.5,17,3322,5.93,50,1.846,73.22,2.421,4.126,15.189,72.84
26.5,17,3322,5.93,75,1.385,66,2.436,3.517,14.65,75.998
26.5,17,3322,5.93,90,1.179,52.85,2.45,2.956,14.155,79.118
26.5,17,3322,5.93,110,0.892,52.19,2.348,7.161,17.553,59.207
26.5,17,3322,4.84,35,1.17,56.805,2.368,6.954,16.65,58.243
26.5,17,3322,4.84,50,0.986,41.27,2.403,5.577,15.417,63.823
26.5,17,3322,4.84,75,0.875,49.42,2.445,3.944,13.954,71.735
26.5,17,3322,4.84,90,0.65,41.86,2.459,3.361,13.432,75.006
26.5,17,3322,4.84,110,0.593,38.83,2.469,2.983,13.092,77.222
26.5,17,3322,4.9,35,1.3,64.9,2.358,7.177,17.03,57.88
26.5,17,3322,4.9,50,1.23,35.76,2.397,5.631,15.648,64.04
26.5,17,3322,4.9,75,1.117,51.47,2.438,4.032,14.219,71.667
26.5,17,3322,4.9,90,0.687,35.51,2.452,3.472,13.718,74.722
26.5,17,3322,4.9,110,0.575,42.8,2.464,3,13.296,77.436
26.5,17,3322,5.99,35,2.497,72.12,2.337,7.193,18.148,60.362
26.5,17,3322,5.99,50,2.199,73.69,2.371,5.843,16.957,65.599
26.5,17,3322,5.99,75,1.303,89.9,2.411,4.232,15.536,72.769
26.5,17,3322,5.99,90,1.111,64.64,2.428,3.589,14.969,76.048
26.5,17,3322,5.99,110,1.003,56.71,2.44,3.078,14.518,78.803
26.5,24,822,5.27,35,2.433,36.465,2.248,6.895,16.956,60.315
26.5,24,822,5.27,50,2.263,26.21,2.284,5.378,15.604,66.422
26.5,24,822,5.27,75,1.593,27.765,2.317,4.032,14.403,72.768
26.5,24,822,5.27,90,1.284,22.54,2.332,3.412,13.85,75.804
26.5,24,822,5.27,110,1.196,24.13,2.357,2.375,12.924,82.195
26.5,24,822,5.79,35,3.433,45.735,2.23,6.917,17.619,61.207
26.5,24,822,5.79,50,2.122,41.085,2.266,5.415,16.289,67.209
26.5,24,822,5.79,75,1.619,34.05,2.299,4.039,15.071,73.628
26.5,24,822,5.79,90,1.401,28.12,2.314,3.424,14.527,76.363
26.5,24,822,5.79,110,1.22,21.26,2.327,2.891,14.055,79.562
26.5,24,822,4.71,35,2.201,25.13,2.266,6.77,15.775,57.352
26.5,24,822,4.71,50,1.419,21.505,2.304,5.234,14.388,63.841
26.5,24,822,4.71,75,1.171,20.61,2.331,4.094,13.358,70.001
26.5,24,822,4.71,90,0.985,18.95,2.35,3.333,12.67,73.546
26.5,24,822,4.71,110,0.963,18.98,2.362,2.834,12.22,76.886
26.5,24,822,4.75,35,1.984,30.325,2.258,6.846,16.63,59.231
26.5,24,822,4.75,50,1.63,25.48,2.295,5.318,15.264,65.491
26.5,24,822,4.75,75,1.539,23.55,2.327,4.007,14.09,71.815
26.5,24,822,4.75,90,1.031,20.34,2.342,3.383,13.531,74.954
26.5,24,822,4.75,110,0.833,18.17,2.355,2.841,13.046,78.374
26.5,24,822,5.82,35,3.186,52.025,2.228,6.93,18.141,62.638
26.5,24,822,5.82,50,2.727,34.69,2.264,5.431,16.823,68.481
26.5,24,822,5.82,75,1.891,33.775,2.298,4.014,15.576,74.674
26.5,24,822,5.82,90,1.539,30.795,2.311,3.488,15.113,77.295
26.5,24,822,5.82,110,1.42,26.76,2.336,2.418,14.172,84.191
26.5,24,1415,5.27,35,2.103,44.23,2.239,6.887,17.355,60.315
26.5,24,1415,5.27,50,1.862,31.795,2.276,5.377,16.015,66.422
26.5,24,1415,5.27,75,1.247,33.73,2.308,4.037,14.825,72.768
26.5,24,1415,5.27,90,1.094,27.325,2.322,3.464,14.316,75.804
26.5,24,1415,5.27,110,0.911,22.97,2.348,2.386,13.36,82.195
26.5,24,1415,5.79,35,2.958,51.13,2.229,6.889,17.758,61.207
26.5,24,1415,5.79,50,2.069,45.62,2.265,5.389,16.432,67.209
26.5,24,1415,5.79,75,1.643,37.855,2.298,4.014,15.218,73.628
26.5,24,1415,5.79,90,1.367,33.18,2.311,3.488,14.753,76.363
26.5,24,1415,5.79,110,1.472,24.86,2.324,2.911,14.244,79.562
26.5,24,1415,4.71,35,1.598,29.31,2.264,6.787,15.913,57.352
26.5,24,1415,4.71,50,1.426,25.335,2.301,5.254,14.53,63.841
26.5,24,1415,4.71,75,1.274,22.085,2.331,4.027,13.424,70.001
26.5,24,1415,4.71,90,1.228,20.455,2.346,3.402,12.859,73.546
26.5,24,1415,4.71,110,0.718,20.315,2.36,2.859,12.37,76.886
26.5,24,1415,4.75,35,1.758,33.23,2.255,6.865,16.838,59.231
26.5,24,1415,4.75,50,1.625,27.22,2.292,5.341,15.478,65.491
26.5,24,1415,4.75,75,1.501,27.47,2.323,4.033,14.31,71.815
26.5,24,1415,4.75,90,1.024,23.73,2.337,3.455,13.794,74.954
26.5,24,1415,4.75,110,0.775,21.195,2.352,2.87,13.271,78.374
26.5,24,1415,5.82,35,3.296,55.2,2.221,6.913,18.503,62.638
26.5,24,1415,5.82,50,2.637,38.705,2.257,5.42,17.195,68.481
26.5,24,1415,5.82,75,1.807,37.335,2.289,4.052,15.998,74.674
26.5,24,1415,5.82,90,1.584,33.945,2.302,3.528,15.539,77.295
26.5,24,1415,5.82,110,1.522,29.67,2.331,2.285,14.451,84.191
26.5,24,3322,5.27,35,1.992,57.805,2.23,6.965,17.793,60.859
26.5,24,3322,5.27,50,1.643,42.655,2.267,5.422,16.431,66.998
26.5,24,3322,5.27,75,1.345,50.18,2.3,4.047,15.215,73.403
26.5,24,3322,5.27,90,1.057,40.7,2.313,3.52,14.75,76.133
26.5,24,3322,5.27,110,0.848,57.355,2.328,2.899,14.201,79.588
26.5,24,3322,5.79,35,2.518,72.54,2.221,7.038,18.147,61.218
26.5,24,3322,5.79,50,2.16,63.32,2.258,5.464,16.761,67.402
26.5,24,3322,5.79,75,1.621,51.56,2.293,4.009,15.481,74.102
26.5,24,3322,5.79,90,1.38,44.905,2.305,3.529,15.058,76.562
26.5,24,3322,5.79,110,1.044,33.95,2.319,2.911,14.514,79.942
26.5,24,3322,4.71,35,1.369,51.835,2.26,6.829,16.143,57.695
26.5,24,3322,4.71,50,0.994,41.445,2.297,5.302,14.768,64.099
26.5,24,3322,4.71,75,1.024,32.885,2.327,4.079,13.667,70.156
26.5,24,3322,4.71,90,0.92,31.06,2.343,3.411,13.066,73.898
26.5,24,3322,4.71,110,0.693,28.955,2.356,2.869,12.578,77.191
26.5,24,3322,4.75,35,1.522,52.255,2.246,6.939,17.266,59.809
26.5,24,3322,4.75,50,1.439,45.145,2.283,5.382,15.882,66.112
26.5,24,3322,4.75,75,1.307,36.57,2.316,4.037,14.686,72.513
26.5,24,3322,4.75,90,0.804,30.48,2.328,3.505,14.213,75.337
26.5,24,3322,4.75,110,0.673,24.54,2.344,2.878,13.656,78.926
26.5,24,3322,5.82,35,3.134,84.485,2.234,7.056,18.092,60.999
26.5,24,3322,5.82,50,2.687,61.015,2.272,5.474,16.698,67.217
26.5,24,3322,5.82,75,1.525,59.19,2.308,4.012,15.409,73.967
26.5,24,3322,5.82,90,1.299,50.84,2.318,3.573,15.023,76.214
26.5,24,3322,5.82,110,1.174,49.97,2.35,2.233,13.841,83.873
